0.99,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
0,0.94,0,0.06,0,0,0,0,0,0,0,0,0,0,0
0,0,0.97,0,0,0,0,0,0,0.03,0,0,0,0,0
0,0,0,0.97,0,0.03,0,0,0,0,0,0,0,0,0
0,0,0,0,0.96,0,0.02,0,0.01,0.01,0,0.01,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0.03,0,0.88,0.02,0.01,0,0,0,0.03,0.01,0.02
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.97,0,0.01,0.01,0,0,0
0.05,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0.2,0,0,0,0,0.8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.97
