Wall time,Step,Value
1634258168.512566,0,1.2115864753723145
1634258227.8919613,1,0.4125056862831116
1634258285.3841677,2,0.2894156575202942
1634258342.9256945,3,0.2188500016927719
1634258400.7623312,4,0.17318446934223175
1634258458.6398652,5,0.17329175770282745
1634258517.3229449,6,0.13395608961582184
1634258576.3661745,7,0.10762514173984528
1634258634.6441271,8,0.10474324226379395
1634258695.127389,9,0.08941462635993958
1634258754.1371908,10,0.09599681943655014
1634258811.763424,11,0.08755156397819519
1634258870.2920976,12,0.07701388746500015
1634258929.4549298,13,0.09626370668411255
1634258989.199639,14,0.08228254318237305
1634259048.1520355,15,0.08813197910785675
1634259105.83107,16,0.09928309917449951
1634259166.5927114,17,0.07679101079702377
1634259223.6165955,18,0.07926110923290253
1634259282.3141832,19,0.08344849199056625
1634259340.5653393,20,0.08304324001073837
1634259399.0989127,21,0.08451247960329056
1634259458.3986697,22,0.08322987705469131
1634259516.9523954,23,0.08223922550678253
1634259574.7561915,24,0.08932115882635117
1634259634.6519816,25,0.08016039431095123
1634259693.0271878,26,0.08022203296422958
1634259750.958963,27,0.08149272203445435
1634259811.2500706,28,0.08255130052566528
1634259870.3493886,29,0.08095340430736542
1634259927.7531502,30,0.076778843998909
1634259986.1073608,31,0.08737966418266296
1634260044.5066009,32,0.07777154445648193
1634260103.7400393,33,0.07355818152427673
1634260162.3369324,34,0.07917541265487671
1634260220.1178308,35,0.07833131402730942
1634260282.5144432,36,0.08432167768478394
1634260340.2750275,37,0.09253036230802536
1634260397.791439,38,0.0771140456199646
1634260456.1793609,39,0.07863166183233261
1634260515.5286741,40,0.07900232821702957
1634260572.3906837,41,0.08915780484676361
1634260630.289971,42,0.08755379170179367
1634260689.4260848,43,0.08436574786901474
1634260748.3245234,44,0.08385280519723892
1634260806.6846933,45,0.07732822746038437
1634260864.1866837,46,0.0883922353386879
1634260923.1661127,47,0.08092932403087616
1634260981.7349737,48,0.08744129538536072
1634261039.53342,49,0.07393950968980789
