Wall time,Step,Value
1648083552.7455988,0,1.073481559753418
1648083628.542808,1,0.32672610878944397
1648083704.69469,2,0.21334002912044525
1648083780.4288497,3,0.1765228658914566
1648083856.374109,4,0.15270185470581055
1648083932.407482,5,0.11599308252334595
1648084007.90577,6,0.102879099547863
1648084084.4074702,7,0.0853060707449913
1648084160.4722173,8,0.07647651433944702
1648084236.8442628,9,0.07330968230962753
1648084313.0695288,10,0.07034537941217422
1648084389.817146,11,0.06883671134710312
1648084465.8507264,12,0.06000303849577904
1648084542.0409508,13,0.0607556514441967
1648084618.1059093,14,0.06293807178735733
1648084694.2174785,15,0.0648888424038887
1648084770.5874937,16,0.057030703872442245
1648084846.3274605,17,0.05862436816096306
1648084922.1379163,18,0.06142358109354973
1648084998.3917162,19,0.05866764485836029
1648085074.5646987,20,0.0631587877869606
1648085150.2769866,21,0.05626643821597099
1648085226.2753267,22,0.06040514260530472
1648085302.2481756,23,0.056166838854551315
1648085378.1574192,24,0.06287414580583572
1648085453.812,25,0.048534147441387177
1648085529.5954812,26,0.055649880319833755
1648085605.6886866,27,0.05694609507918358
1648085682.0397422,28,0.058474086225032806
1648085758.2947469,29,0.05878880247473717
1648085834.6779883,30,0.05966534465551376
1648085910.4249167,31,0.06215637922286987
1648085987.1540365,32,0.0631137564778328
1648086063.114466,33,0.061602119356393814
1648086138.8755786,34,0.06342095881700516
1648086214.7300968,35,0.062113650143146515
1648086291.262864,36,0.05808331072330475
1648086367.1314032,37,0.06487760692834854
1648086443.2443194,38,0.060876671224832535
1648086519.4899473,39,0.06026367470622063
1648086596.0214267,40,0.06488490849733353
1648086671.9141467,41,0.06819853186607361
1648086748.379598,42,0.053307585418224335
1648086824.2442014,43,0.06611330807209015
1648086900.2161815,44,0.0602317675948143
1648086976.4169126,45,0.05887165293097496
1648087052.0725148,46,0.05928166210651398
1648087128.1209655,47,0.055369485169649124
1648087204.5285292,48,0.059288352727890015
1648087280.4860766,49,0.05909162387251854
