Wall time,Step,Value
1648418760.7616236,0,0.9750239849090576
1648418799.6798816,1,0.352230966091156
1648418837.9521248,2,0.24343061447143555
1648418876.1075473,3,0.213980033993721
1648418914.9860413,4,0.16979704797267914
1648418953.114998,5,0.14954572916030884
1648418992.2852435,6,0.1228601336479187
1648419030.9633622,7,0.12236631661653519
1648419069.331239,8,0.09670701622962952
1648419107.8764696,9,0.10180450975894928
1648419146.1290073,10,0.08941169828176498
1648419184.528297,11,0.10417649894952774
1648419222.7862434,12,0.08184012025594711
1648419260.8424203,13,0.0885598361492157
1648419299.3624449,14,0.09215669333934784
1648419337.621201,15,0.08945603668689728
1648419376.5649786,16,0.08574973791837692
1648419414.9054298,17,0.08736716210842133
1648419453.287831,18,0.0830167904496193
1648419492.1962247,19,0.09183643758296967
1648419530.7738347,20,0.09157408773899078
1648419569.0708206,21,0.09184233844280243
1648419607.5248787,22,0.09065144509077072
1648419646.5628495,23,0.07982508838176727
1648419684.9517663,24,0.09216097742319107
1648419723.2203546,25,0.09144226461648941
1648419761.9469955,26,0.08753914386034012
1648419800.621879,27,0.09548518061637878
1648419838.9449346,28,0.0882563441991806
1648419877.8927162,29,0.07734403759241104
1648419915.9671955,30,0.08667336404323578
1648419954.368998,31,0.07945141196250916
1648419993.3231523,32,0.09202145040035248
1648420032.2092624,33,0.08761922270059586
1648420070.5748641,34,0.09069681167602539
1648420109.1191168,35,0.08971064537763596
1648420146.9747849,36,0.08682353794574738
1648420185.3561027,37,0.09150032699108124
1648420223.8718586,38,0.08351004868745804
1648420262.5734165,39,0.08865013718605042
1648420301.0464637,40,0.08250250667333603
1648420339.30884,41,0.08829794824123383
1648420377.985877,42,0.09282413125038147
1648420416.1029446,43,0.08721324056386948
1648420454.4136176,44,0.09471719712018967
1648420492.6084387,45,0.07640395313501358
1648420531.1770556,46,0.09000471979379654
1648420570.0374396,47,0.09373115003108978
1648420608.0871053,48,0.09238272905349731
1648420646.657886,49,0.08870504796504974
