Wall time,Step,Value
1634331603.1907444,0,1.1584908962249756
1634331713.7978501,1,0.5133371353149414
1634331823.779134,2,0.3795575797557831
1634331933.7549765,3,0.31307297945022583
1634332043.2936335,4,0.2658703923225403
1634332152.7331655,5,0.22760020196437836
1634332265.3257384,6,0.21151037514209747
1634332374.8370562,7,0.11263822764158249
1634332485.16231,8,0.0997084304690361
1634332596.674291,9,0.09504945576190948
1634332705.5578482,10,0.07844342291355133
1634332814.5660732,11,0.0670781135559082
1634332924.4113941,12,0.07773803919553757
1634333033.8592908,13,0.06882230937480927
1634333143.998853,14,0.07551442831754684
1634333253.7149367,15,0.07801563292741776
1634333363.4010923,16,0.06463775783777237
1634333473.2503803,17,0.06647895276546478
1634333583.6347122,18,0.0793372318148613
1634333693.507399,19,0.07296357303857803
1634333807.68673,20,0.0737556740641594
1634333917.414408,21,0.0708732083439827
1634334026.7873907,22,0.08155124634504318
1634334135.341144,23,0.08099900186061859
1634334244.7380662,24,0.06938660889863968
1634334353.5958624,25,0.0806906670331955
1634334462.4810326,26,0.0679406076669693
1634334571.6830308,27,0.06166045740246773
1634334681.7643986,28,0.06401944160461426
1634334791.581195,29,0.06812570989131927
1634334901.3967662,30,0.07966697216033936
1634335012.8018913,31,0.061957307159900665
1634335122.2280948,32,0.06094098091125488
1634335236.3189497,33,0.06837181001901627
1634335347.6495862,34,0.07566897571086884
1634335456.2974272,35,0.07414326816797256
1634335565.5244136,36,0.06892605125904083
1634335675.9830863,37,0.06757472455501556
1634335785.2200537,38,0.06939294189214706
1634335895.4569569,39,0.08266855776309967
1634336005.0341372,40,0.06653326749801636
1634336114.6747205,41,0.06660831719636917
1634336224.552863,42,0.06444226205348969
1634336334.6255074,43,0.07636616379022598
1634336444.127952,44,0.07293134182691574
1634336553.0668077,45,0.06287640333175659
1634336663.7581673,46,0.07461164891719818
1634336773.5997798,47,0.0645049661397934
1634336883.1410713,48,0.07067360728979111
1634336992.2539463,49,0.065883107483387
