Wall time,Step,Value
1637520580.0545046,0,0.5011911988258362
1637520637.9203346,1,0.7778439521789551
1637520695.688447,2,0.8776057362556458
1637520753.4509976,3,0.9047051668167114
1637520811.6820672,4,0.9270399212837219
1637520869.4927008,5,0.9371649622917175
1637520927.7055566,6,0.942525327205658
1637520985.5019495,7,0.9550327658653259
1637521043.8477535,8,0.9589040875434875
1637521103.7690616,9,0.9550327658653259
1637521164.9065044,10,0.9615842700004578
1637521226.101042,11,0.9583085179328918
1637521286.7206154,12,0.9630732536315918
1637521347.936557,13,0.9615842700004578
1637521409.2268662,14,0.9624776840209961
1637521469.4659026,15,0.9630732536315918
1637521530.5805771,16,0.962775468826294
1637521590.238037,17,0.9675402045249939
1637521650.0139031,18,0.9651578068733215
1637521708.3262708,19,0.9597975015640259
1637521767.027611,20,0.962775468826294
1637521825.2342694,21,0.9645622372627258
1637521883.0370355,22,0.9618820548057556
1637521941.0891745,23,0.9624776840209961
1637522001.4932451,24,0.965753436088562
1637522061.5260715,25,0.9690291881561279
1637522123.7757716,26,0.9621798396110535
1637522185.547914,27,0.9618820548057556
1637522246.7440386,28,0.9624776840209961
1637522307.3108494,29,0.9624776840209961
1637522368.688614,30,0.9633710384368896
1637522427.530332,31,0.964264452457428
1637522487.0287511,32,0.9609887003898621
1637522546.9702802,33,0.9603930711746216
1637522606.3458974,34,0.967242419719696
1637522666.284661,35,0.9639666676521301
1637522727.6769376,36,0.9675402045249939
1637522789.5591142,37,0.9612864851951599
1637522850.6220825,38,0.9633710384368896
1637522913.4700859,39,0.9639666676521301
1637522975.2237043,40,0.9651578068733215
1637523034.3536656,41,0.9615842700004578
1637523092.5435405,42,0.9660512208938599
1637523150.0571856,43,0.958010733127594
1637523207.8824658,44,0.9678379893302917
1637523266.1581886,45,0.9618820548057556
1637523324.3572128,46,0.9639666676521301
1637523383.8190198,47,0.9654556512832642
1637523443.5803707,48,0.964264452457428
1637523503.020453,49,0.962775468826294
