Wall time,Step,Value
1634337114.137504,0,0.656640887260437
1634337224.2702806,1,0.8493150472640991
1634337333.0425162,2,0.8692674040794373
1634337443.6200264,3,0.9073853492736816
1634337554.0866992,4,0.916021466255188
1634337664.689986,5,0.9279332756996155
1634337773.9612238,6,0.9181060194969177
1634337884.5076492,7,0.9583085179328918
1634337993.3953602,8,0.9654556512832642
1634338102.6014054,9,0.9666467905044556
1634338211.6442409,10,0.9711137413978577
1634338322.7113428,11,0.9743894934654236
1634338433.4068313,12,0.97349613904953
1634338544.0948951,13,0.9740917086601257
1634338654.5671244,14,0.9752829074859619
1634338765.2259638,15,0.9737939238548279
1634338875.9015844,16,0.9740917086601257
1634338985.8673303,17,0.9809410572052002
1634339096.337861,18,0.9773674607276917
1634339205.4758928,19,0.976771891117096
1634339315.0248733,20,0.9737939238548279
1634339424.4628613,21,0.9740917086601257
1634339539.0301208,22,0.9788564443588257
1634339650.0208263,23,0.9746873378753662
1634339760.0453331,24,0.9758784770965576
1634339870.0344665,25,0.9791542291641235
1634339979.9359303,26,0.9761763215065002
1634340090.530784,27,0.9791542291641235
1634340201.7893753,28,0.9708159565925598
1634340312.967098,29,0.9755806922912598
1634340424.009496,30,0.9764741063117981
1634340534.4939396,31,0.9696247577667236
1634340644.1119428,32,0.9794520735740662
1634340753.0414016,33,0.9749851226806641
1634340864.5038843,34,0.9773674607276917
1634340974.286733,35,0.972007155418396
1634341083.9490132,36,0.97349613904953
1634341193.8836837,37,0.9737939238548279
1634341304.32324,38,0.9752829074859619
1634341414.8649175,39,0.9717093706130981
1634341525.9854624,40,0.9755806922912598
1634341636.176804,41,0.9752829074859619
1634341747.017924,42,0.9699226021766663
1634341857.572395,43,0.9740917086601257
1634341965.9821317,44,0.9761763215065002
1634342075.1150463,45,0.9740917086601257
1634342184.482888,46,0.9746873378753662
1634342294.3296723,47,0.97349613904953
1634342403.605334,48,0.9726027250289917
1634342511.780401,49,0.9752829074859619
