Wall time,Step,Value
1634509594.775182,0,0.7316855192184448
1634509671.4224482,1,0.8969624638557434
1634509747.751286,2,0.9264442920684814
1634509822.983108,3,0.9380583763122559
1634509902.3016264,4,0.9478856325149536
1634509978.5835989,5,0.9577129483222961
1634510055.1214674,6,0.9633710384368896
1634510130.2815425,7,0.9684336185455322
1634510205.9412134,8,0.976771891117096
1634510284.6620874,9,0.9776653051376343
1634510361.725008,10,0.9833233952522278
1634510436.6921163,11,0.9761763215065002
1634510511.5029693,12,0.981238842010498
1634510586.3281498,13,0.9830256104469299
1634510661.0058584,14,0.9830256104469299
1634510735.5594952,15,0.9803454279899597
1634510812.429799,16,0.9833233952522278
1634510889.8265278,17,0.9836211800575256
1634510965.7044098,18,0.9827278256416321
1634511045.3105006,19,0.9815366268157959
1634511121.9701145,20,0.9815366268157959
1634511198.2143292,21,0.979749858379364
1634511272.2843177,22,0.981238842010498
1634511347.047194,23,0.9821321964263916
1634511421.40709,24,0.9815366268157959
1634511496.351982,25,0.9818344116210938
1634511571.5143127,26,0.9848123788833618
1634511647.0975535,27,0.9824300408363342
1634511722.0077891,28,0.9839190244674683
1634511797.5562832,29,0.9871947765350342
1634511872.282515,30,0.981238842010498
1634511947.468561,31,0.9857057929039001
1634512023.2506187,32,0.9839190244674683
1634512098.9785714,33,0.9818344116210938
1634512174.396519,34,0.9785586595535278
1634512251.4860342,35,0.9830256104469299
1634512328.8049788,36,0.9809410572052002
1634512404.368526,37,0.9824300408363342
1634512483.6888494,38,0.9824300408363342
1634512559.3442123,39,0.9815366268157959
1634512635.5830913,40,0.9830256104469299
1634512709.271612,41,0.9863013625144958
1634512784.085171,42,0.9809410572052002
1634512859.029296,43,0.9851101636886597
1634512933.8253126,44,0.9800476431846619
1634513009.0225863,45,0.9865991473197937
1634513084.3706346,46,0.9818344116210938
1634513159.7594159,47,0.9839190244674683
1634513234.6026578,48,0.9839190244674683
1634513309.4466598,49,0.9827278256416321
