Wall time,Step,Value
1634386418.128816,0,0.6917808055877686
1634386551.5212715,1,0.9136390686035156
1634386679.924635,2,0.9341869950294495
1634386811.6112444,3,0.9475878477096558
1634386939.7881896,4,0.9559261202812195
1634387068.05603,5,0.9609887003898621
1634387199.5382924,6,0.964264452457428
1634387328.8636367,7,0.9714115262031555
1634387459.5620823,8,0.9723049402236938
1634387587.8339052,9,0.976771891117096
1634387716.9753916,10,0.9806432127952576
1634387844.8669393,11,0.981238842010498
1634387973.6248367,12,0.976771891117096
1634388103.6085827,13,0.9836211800575256
1634388232.6414685,14,0.9824300408363342
1634388365.8659918,15,0.979749858379364
1634388494.370441,16,0.9824300408363342
1634388622.661175,17,0.9842168092727661
1634388753.029929,18,0.9776653051376343
1634388881.5067096,19,0.9842168092727661
1634389013.1415994,20,0.9800476431846619
1634389141.661111,21,0.979749858379364
1634389271.7295873,22,0.9776653051376343
1634389400.1128542,23,0.9779630899429321
1634389528.7068412,24,0.9821321964263916
1634389657.924346,25,0.979749858379364
1634389786.3420482,26,0.9815366268157959
1634389914.598489,27,0.9815366268157959
1634390043.4054587,28,0.9830256104469299
1634390171.4228215,29,0.9800476431846619
1634390301.0094564,30,0.9830256104469299
1634390430.2035165,31,0.9809410572052002
1634390557.3876562,32,0.981238842010498
1634390687.2999709,33,0.9788564443588257
1634390816.7440772,34,0.9815366268157959
1634390948.795338,35,0.9800476431846619
1634391077.1340194,36,0.9779630899429321
1634391210.0272508,37,0.9809410572052002
1634391339.6499214,38,0.9815366268157959
1634391471.4765754,39,0.97826087474823
1634391600.73839,40,0.9818344116210938
1634391728.932387,41,0.9791542291641235
1634391860.8205714,42,0.9824300408363342
1634391989.4360907,43,0.9803454279899597
1634392122.425444,44,0.9818344116210938
1634392250.558913,45,0.9815366268157959
1634392378.8229573,46,0.9824300408363342
1634392511.5867648,47,0.9803454279899597
1634392641.0859735,48,0.9752829074859619
1634392774.5560625,49,0.9806432127952576
