Wall time,Step,Value
1648139420.6323254,0,0.7388326525688171
1648139623.0990875,1,0.9249553084373474
1648139825.3004007,2,0.95175701379776
1648140027.234108,3,0.9526503682136536
1648140229.3646321,4,0.9687314033508301
1648140431.3748784,5,0.972007155418396
1648140633.272381,6,0.981238842010498
1648140835.2664323,7,0.9758784770965576
1648141037.213664,8,0.9824300408363342
1648141238.7804673,9,0.9824300408363342
1648141440.4632165,10,0.9863013625144958
1648141642.17689,11,0.9842168092727661
1648141844.2552392,12,0.9851101636886597
1648142045.852297,13,0.986003577709198
1648142247.7124922,14,0.9839190244674683
1648142449.364511,15,0.984514594078064
1648142651.406447,16,0.9851101636886597
1648142853.914474,17,0.9865991473197937
1648143055.2899241,18,0.9883859157562256
1648143257.9538832,19,0.9851101636886597
1648143459.6038525,20,0.9830256104469299
1648143661.2360122,21,0.9854080080986023
1648143862.8764822,22,0.986003577709198
1648144064.9466896,23,0.9854080080986023
1648144266.4756184,24,0.9854080080986023
1648144468.513269,25,0.9842168092727661
1648144670.7385323,26,0.9848123788833618
1648144873.0898888,27,0.9848123788833618
1648145074.2898364,28,0.9886837601661682
1648145276.1041615,29,0.9871947765350342
1648145478.112511,30,0.9857057929039001
1648145680.2884862,31,0.9868969917297363
1648145882.698588,32,0.986003577709198
1648146085.0573468,33,0.9868969917297363
1648146287.2527156,34,0.9827278256416321
1648146489.4825785,35,0.986003577709198
1648146691.0546997,36,0.9836211800575256
1648146892.9938436,37,0.9827278256416321
1648147095.144913,38,0.9883859157562256
1648147297.0669885,39,0.9871947765350342
1648147498.6617258,40,0.9871947765350342
1648147700.35302,41,0.9877903461456299
1648147902.3808155,42,0.9839190244674683
1648148104.4444873,43,0.9883859157562256
1648148305.8833299,44,0.9836211800575256
1648148508.0886827,45,0.9895771145820618
1648148709.9705298,46,0.9863013625144958
1648148911.6601436,47,0.986003577709198
1648149113.8454118,48,0.9871947765350342
1648149315.3825455,49,0.984514594078064
