Wall time,Step,Value
1648424446.4878938,0,0.7138177752494812
1648424484.1813087,1,0.8895175457000732
1648424521.622789,2,0.928528904914856
1648424559.1010716,3,0.944014310836792
1648424595.8490407,4,0.9508635997772217
1648424633.2098484,5,0.9538415670394897
1648424670.4881253,6,0.962775468826294
1648424708.5464575,7,0.970518171787262
1648424745.9102845,8,0.9687314033508301
1648424783.6263108,9,0.9687314033508301
1648424820.855726,10,0.9717093706130981
1648424858.1533716,11,0.9711137413978577
1648424896.398503,12,0.9708159565925598
1648424933.6121054,13,0.967242419719696
1648424970.7457893,14,0.9714115262031555
1648425008.0263755,15,0.9711137413978577
1648425045.1818779,16,0.9711137413978577
1648425082.7691534,17,0.9791542291641235
1648425120.302623,18,0.976771891117096
1648425157.6682858,19,0.9752829074859619
1648425194.631224,20,0.97826087474823
1648425232.196666,21,0.9729005098342896
1648425269.5420613,22,0.9726027250289917
1648425307.1089013,23,0.9729005098342896
1648425344.8248591,24,0.9749851226806641
1648425382.2500992,25,0.9764741063117981
1648425419.859217,26,0.97826087474823
1648425456.8574405,27,0.9752829074859619
1648425494.3968601,28,0.9770696759223938
1648425532.2023683,29,0.97349613904953
1648425569.5468023,30,0.97349613904953
1648425606.6453166,31,0.9788564443588257
1648425644.1864445,32,0.9764741063117981
1648425681.907838,33,0.9764741063117981
1648425719.3493445,34,0.9737939238548279
1648425756.485642,35,0.9758784770965576
1648425793.7815638,36,0.9714115262031555
1648425831.207615,37,0.9699226021766663
1648425868.3393462,38,0.9776653051376343
1648425905.9674666,39,0.9752829074859619
1648425943.3240616,40,0.9726027250289917
1648425980.717833,41,0.9758784770965576
1648426017.9276807,42,0.976771891117096
1648426055.333076,43,0.9749851226806641
1648426092.450006,44,0.9764741063117981
1648426129.688552,45,0.97826087474823
1648426166.9821324,46,0.9755806922912598
1648426204.8928664,47,0.9776653051376343
1648426242.714592,48,0.9758784770965576
1648426280.1255822,49,0.9684336185455322
